entry_time,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,winner,exit_reason,equity,drawdown,bars_held,regime,regime_confidence
2025-04-13 13:15:00,7773,7804,0.8547,0.7905975000000001,7.489999999999994,True,TP,0.7405945212695955,36.86472952350915,31,Favorable,Low
2025-04-14 09:45:00,7855,7865,0.8466,0.8889300000000001,-5.010000000000011,False,SL,0.7034907357539886,40.02780657438135,10,Favorable,Low
2025-04-16 05:45:00,8031,8049,0.8451,0.887355,-5.010000000000005,False,SL,0.6682458498927137,43.03241346500485,18,Favorable,Low
2025-04-17 19:15:00,8181,8204,0.8542,0.790135,7.489999999999991,True,TP,0.718297464049678,38.76554123353371,23,Highly Favorable,High
2025-04-18 08:45:00,8235,8310,0.7591,0.7970550000000001,-5.01000000000001,False,SL,0.682310761100789,41.83338761773368,75,Highly Favorable,High
2025-04-19 12:30:00,8346,8387,0.773,0.8116500000000001,-5.01000000000001,False,SL,0.6481269919696394,44.74753489808523,41,Favorable,Low
2025-04-23 17:15:00,8749,8790,1.1239,1.0396075,7.4899999999999896,True,TP,0.6966717036681653,40.60912526195182,41,Favorable,Low
2025-04-24 06:45:00,8803,8836,1.0622,1.11531,-5.009999999999999,False,SL,0.6617684513143902,43.58460808632804,33,Favorable,Low
2025-04-24 17:30:00,8846,8851,1.074,1.1277000000000001,-5.010000000000008,False,SL,0.6286138519035392,46.411019221203006,5,Favorable,Low
2025-04-25 10:45:00,8915,8999,1.0837,1.0024225000000002,7.489999999999989,True,TP,0.6756970294111143,42.39720456087111,84,Favorable,Low
2025-04-26 13:30:00,9022,9111,1.003,1.05315,-5.010000000000014,False,SL,0.6418446082376174,45.283104612371474,89,Favorable,Medium
2025-04-28 20:00:00,9240,9422,1.1202,1.1762100000000002,-5.0100000000000104,False,SL,0.6096881933649126,48.02442107129167,182,Favorable,Low
2025-05-02 00:30:00,9546,9703,1.192,1.1026,7.489999999999994,True,TP,0.6553538390479445,44.13145020953142,157,Favorable,Low
2025-05-03 21:00:00,9724,9956,1.0929,1.147545,-5.010000000000005,False,SL,0.6225206117116425,46.930464554033904,232,Favorable,Low
2025-05-06 16:30:00,9994,10014,1.0888,1.0071400000000001,7.489999999999986,True,TP,0.6691474055288446,42.955556349131044,20,Favorable,Low
2025-05-07 02:30:00,10034,10051,1.0536,0.9745800000000001,7.489999999999997,True,TP,0.7192665462029549,38.68292751968096,17,Favorable,Low
2025-05-07 10:45:00,10067,10089,1.0166,0.940355,7.4899999999999896,True,TP,0.7731396105135563,34.09027879090507,22,Highly Favorable,High
2025-05-07 19:15:00,10101,10111,0.9583,1.006215,-5.010000000000004,False,SL,0.7344053160268271,37.39235582348071,10,Highly Favorable,High
2025-05-10 18:15:00,10385,10405,1.316,1.3818000000000001,-5.010000000000006,False,SL,0.697611609693883,40.528998796724345,20,Favorable,Low
2025-05-11 10:00:00,10448,10508,1.3167,1.382535,-5.010000000000007,False,SL,0.6626612680482195,43.50849595700845,60,Favorable,Medium
2025-05-13 00:30:00,10602,10613,1.3527,1.2512475,7.489999999999995,True,TP,0.7122945970250311,39.27728230418839,11,Favorable,Low
2025-05-13 07:45:00,10631,10650,1.2874,1.3517700000000001,-5.0100000000000025,False,SL,0.676608637714077,42.319490460748554,19,Favorable,Medium
2025-05-13 14:15:00,10657,10668,1.3067,1.3720350000000001,-5.010000000000011,False,SL,0.6427105449646017,45.20928398866506,11,Favorable,Low
2025-05-14 13:45:00,10751,10798,1.4067,1.3011975000000002,7.489999999999987,True,TP,0.6908495647824503,41.105459359416066,47,Favorable,Low
